参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“其实，首席长老根本没打算放过陆家子弟，早已安排齐飞云进行接应，最终是要把那些陆家子弟擒下，给齐家当人质，目的是对付你们陆家！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……不到一刻钟，韩山鹊已经把真相和盘托出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜这才明白，原来今日天河学府之所以针对陆家子弟，竟然和自己还有点有关。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,显然，昨天自己掌控陆家大权后，让那些视陆家为盘中餐的敌人坐不住了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这件事，真的是由首席长老李长峰一人牵头谋划？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜问。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊垂头丧气道：“我只是个刑律堂执事，只能听命行事。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“那你说，李长峰这么做，府主薛白松可知道？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜再问。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊嗫喏道：“我觉得……有可能！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我也觉得如此。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜点了点头。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,作为府主，薛白松又不瞎，发生这么大的事情，哪可能被蒙在鼓里？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“世乱识忠奸，患难辨真情，古人诚不我欺。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心情有些低沉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,眼见陆家患难，作为爷爷义子的城主田博雄，却选择袖手旁观。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊这个陆家姑爷，担心被陆家牵累，不惜休掉妻子，选择跳反！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而曾立誓以后必会报答二叔救命之恩的薛白松，更是对陆家子弟挥下屠刀！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这让陆夜不禁怀疑，如今这天河郡城中，那些过往和陆家有交情的人，究竟还有多少靠得住。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿外。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一场滂沱大雨不知何时已风停雨住，天光划破厚厚的云层，把云层染得瑰丽如火。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天光照在刑律堂大殿内，把陆夜独自立着的挺拔身影拉出一道长长的影子。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,守在大殿外的陆家子弟心绪起伏，久久无声。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆平留下，其他人立刻返回宗族。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜大步走出，一手按在腰畔刀柄上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“记住，无需向宗族求助，只需在家等我和陆平返回便可。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,刑律堂发生的事情太过震撼人心，让陆夜在陆家子弟心中的形象也平添一股摄人的威严。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在听到他的命令后，没人敢怠慢，匆匆而去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,只有陆平留了下来，忍不住道：“堂哥，接下来咱们要做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他很清楚，刑律堂的事情闹大了，后果很严重，瞒也瞒不住。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“带韩山鹊和李拓去演武场走一趟，跟薛白松讨一个说法！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜眸子深处泛起一抹浓烈的戾气。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,今天的事情，当然不能就这么算了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“走！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜拾阶而下，朝远处行去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,身后跟着韩山鹊、李拓两个手下败将，都很狼狈凄惨，也很老实，不敢擅自乱动，
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平走在最后。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,刑律堂那高高的屋檐之上，天光倾洒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,一道纤秀窈窕的身影坐在屋脊阴影之中，仪态惬意，正鼓着腮帮吃一串糖葫芦，一对月牙美眸眯着，很是满足。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,微风吹来，少女宽大的衣袍飘曳，露出衣角一幅“刀剑交错，妖魔俯首”的独特标志。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“奇怪，那臭不要脸的小贼胆子可真大，捅出这么大的篓子，不该赶紧逃走么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,少女一手糖葫芦，一手撑着下巴，漂亮的灵眸写满疑惑，“还打算去演武场和薛白松算账……嘁，他以为他是谁？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“如此也好，那无耻小贼最好死翘翘，省得我以后亲自摘了他的狗头！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不经意间，少女脑海浮现一桩往事——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当年在大乾京城的科举大比中，一个玄衣少年一手把她按在地上，另一只手狠狠拍在她臀上，脸上还挂着灿烂的笑容说：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“再不认输，就把你屁股打成八瓣！”,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,想起此事，少女灵秀绝俗的脸颊滚烫，一股羞愤怒意涌上心头，猛地恶狠狠咬碎一颗糖葫芦，嚼碎的仿佛是那“无耻小贼”的狗头。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不行，我得去亲眼看着你如何被打死才行！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,少女刚起身，忽地娇躯一僵。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见早已走远的陆夜，不知何时已转过身，笑吟吟看向她这边。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,还扬起手朝她挥了挥！
